ISO;Country;Cost.of.Living.Index;Rent.Index;Domestic Beer (0.5 liter bottle)
AT;Austria;70.0;26.7;1.1766666667
BE;Belgium;79.0;28.0;1.25
BG;Bulgaria;36.7;8.3;0.77
CH;Switzerland;125.1;58.6;1.9028571428999999
CY;Cyprus;60.7;14.0;1.1233333333
CZ;Czechia;40.75;13.75;0.605
DE;Germany;69.0;27.5;0.9647058824
DK;Denmark;83.0;30.2;1.6325
EE;Estonia;50.5;14.0;1.065
ES;Spain;58.3;20.6;0.8811111111
FI;Finland;75.3;27.5;2.7716666667000003
FR;France;75.0;25.5;1.956
GB;United Kingdom;71.0;31.5;1.85625
GR;Greece;54.2;9.3;1.1966666667
HR;Croatia;50.2;10.0;1.044
HU;Hungary;42.5;12.0;0.805
IE;Ireland;79.2;34.0;2.835
IS;Iceland;104.0;47.0;2.97
IT;Italy;77.2;21.8;1.4420689655
LI;Liechtenstein;82.1;33.4;3.63
LT;Lithuania;47.0;12.5;1.035
LU;Luxembourg;80.0;51.0;1.26
LV;Latvia;49.0;13.0;1.15
MK;North Macedonia;35.0;8.0;0.8
MT;Malta;68.0;28.0;1.28
NL;Netherlands;73.7;33.3;1.1677777778
NO;Norway;109.6;42.0;3.55
PL;Poland;38.3;13.3;0.7418181818
PT;Portugal;48.2;15.5;0.9875
RO;Romania;35.5;8.4;0.7440000000000001
SE;Sweden;76.0;29.5;1.87
SI;Slovenia;52.5;14.0;1.165
SK;Slovakia;47.5;17.5;0.805
TR;Turkey;44.6;9.8;1.972